epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,4495.07,0.48114,0.3143,0.9216,0.95908,0.9054,0.9511,0.90211,0.29651,0.3367,0.86709,0.00025255,0.00025255,0.00025255
153,4519.81,0.48036,0.30877,0.93194,0.95829,0.8875,0.9576,0.90612,0.29452,0.33153,0.86939,0.0002476,0.0002476,0.0002476
154,4544.58,0.48123,0.31451,0.92982,0.95826,0.91416,0.96494,0.91033,0.28003,0.31853,0.85862,0.00024265,0.00024265,0.00024265
155,4569.37,0.48294,0.31094,0.91918,0.94187,0.90987,0.95278,0.90088,0.29985,0.36228,0.86851,0.0002377,0.0002377,0.0002377
156,4594.16,0.46461,0.29908,0.91401,0.9257,0.90906,0.95544,0.89986,0.31537,0.34005,0.86718,0.00023275,0.00023275,0.00023275
157,4618.27,0.47982,0.30705,0.91613,0.94583,0.89919,0.94884,0.8949,0.29399,0.37129,0.8657,0.0002278,0.0002278,0.0002278
158,4636.79,0.46706,0.30347,0.91244,0.92287,0.92439,0.95251,0.89629,0.30624,0.36158,0.87254,0.00022285,0.00022285,0.00022285
159,4657.92,0.46349,0.30153,0.90971,0.93788,0.91416,0.95153,0.9007,0.29835,0.35116,0.8716,0.0002179,0.0002179,0.0002179
160,4668.12,0.45664,0.29815,0.91047,0.9579,0.87897,0.94265,0.89392,0.30333,0.36657,0.87144,0.00021295,0.00021295,0.00021295
161,4678.28,0.45587,0.29792,0.90838,0.9654,0.90129,0.9625,0.90832,0.29793,0.32625,0.86786,0.000208,0.000208,0.000208
162,4688.44,0.45009,0.29397,0.90027,0.97238,0.90674,0.96556,0.9182,0.2981,0.31919,0.86813,0.00020305,0.00020305,0.00020305
163,4698.75,0.46678,0.2971,0.91274,0.95521,0.91526,0.95027,0.90245,0.28527,0.35157,0.8534,0.0001981,0.0001981,0.0001981
164,4708.92,0.45691,0.29984,0.90516,0.97233,0.90488,0.94813,0.90193,0.29755,0.35652,0.87135,0.00019315,0.00019315,0.00019315
165,4719.06,0.44699,0.29053,0.8949,0.94639,0.90923,0.95896,0.90102,0.30045,0.38355,0.86322,0.0001882,0.0001882,0.0001882
166,4729.22,0.46333,0.2953,0.9148,0.96636,0.90558,0.9574,0.9019,0.29006,0.36407,0.86565,0.00018325,0.00018325,0.00018325
